,movie,year,imdb,metascore,votes,descriptions,n_imdb
1506,Madagascar: Escape 2 Africa,(2008),6.6,61,187521,"
    The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",66.0
1507,The Chronicles of Narnia: Prince Caspian,(2008),6.5,62,181489,"
    The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",65.0
1508,Revolutionary Road,(2008),7.3,69,180689,"
    A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.",73.0
1509,You Don't Mess with the Zohan,(2008),5.5,54,179413,"
    An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.",55.0
1510,The Dark Knight,(2008),9.0,84,2096565,"
    When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",90.0
1511,WALL·E,(2008),8.4,95,920711,"
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",84.0
1512,Iron Man,(2008),7.9,79,878966,"
    After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",79.0
1513,Slumdog Millionaire,(2008),8.0,86,753816,"
    A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""",80.0
1514,Gran Torino,(2008),8.1,72,676870,"
    Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",81.0
1515,The Curious Case of Benjamin Button,(2008),7.8,70,546058,"
    Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",78.0
1516,Taken,(I) (2008),7.8,51,542235,"
    A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",78.0
1517,Hancock,(2008),6.4,49,417186,"
    Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.",64.0
1518,The Incredible Hulk,(2008),6.7,61,408404,"
    Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.",67.0
1519,Twilight,(I) (2008),5.2,56,398431,"
    Bella Swan moves to Forks and encounters Edward Cullen, a gorgeous boy with a secret.",52.0
1520,Indiana Jones and the Kingdom of the Crystal Skull,(2008),6.1,65,397694,"
    In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. (Harrison Ford) is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",61.0
1521,The Hurt Locker,(2008),7.6,94,396551,"
    During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",76.0
1522,Kung Fu Panda,(2008),7.5,73,387215,"
    The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts.",75.0
1523,Quantum of Solace,(2008),6.6,58,380830,"
    James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource.",66.0
1524,In Bruges,(2008),7.9,67,366548,"
    Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",79.0
1525,Tropic Thunder,(2008),7.0,71,355388,"
    Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",70.0
1526,Cloverfield,(2008),7.0,64,354337,"
    A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.",70.0
1527,Wanted,(2008),6.7,64,343691,"
    A frustrated office worker learns that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.",67.0
1528,Yes Man,(2008),6.8,46,313695,"
    A man challenges himself to say ""yes"" to everything for an entire year.",68.0
1529,Pineapple Express,(2008),7.0,64,297406,"
    A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.",70.0
1530,Burn After Reading,(2008),7.0,63,290748,"
    A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.",70.0
1531,The Wrestler,(2008),7.9,81,278846,"
    A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",79.0
1532,Jumper,(2008),6.1,35,274356,"
    A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.",61.0
1533,Seven Pounds,(2008),7.6,36,271069,"
    A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.",76.0
1534,Forgetting Sarah Marshall,(2008),7.1,67,250071,"
    Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",71.0
1535,Step Brothers,(2008),6.9,51,249757,"
    Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.",69.0
1536,Hellboy II: The Golden Army,(2008),7.0,78,244781,"
    The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy (Ron Perlman) and his team must save the world from the rebellious creatures.",70.0
1537,Vicky Cristina Barcelona,(2008),7.1,70,229571,"
    Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",71.0
1538,Changeling,(2008),7.7,63,224795,"
    A grief-stricken mother takes on the LAPD to her own detriment when it tries to pass off an obvious impostor as her missing child.",77.0
1539,RocknRolla,(2008),7.3,53,221779,"
    In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into...                See full summary »
",73.0
1540,The Reader,(2008),7.6,58,219502,"
    Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",76.0
1541,Valkyrie,(2008),7.1,56,215873,"
    A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",71.0
1542,21,(2008),6.8,48,215685,"
    ""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",68.0
1543,Role Models,(2008),6.8,61,212718,"
    Wild behavior forces a pair of energy drink reps to enroll in a Big Brother program.",68.0
1544,Rambo,(2008),7.0,46,203980,"
    In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",70.0
1545,Body of Lies,(2008),7.1,57,201324,"
    A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.",71.0
1546,Ip Man,(2008),8.0,59,197837,"
    During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense.",80.0
1547,Mamma Mia!,(2008),6.4,51,197123,"
    The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.",64.0
1548,Let the Right One In,(2008),7.9,82,196456,"
    Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",79.0
1549,Get Smart,(2008),6.5,54,191924,"
    Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",65.0
1550,Death Race,(2008),6.4,43,189238,"
    Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.",64.0
1551,The Happening,(2008),5.0,34,187629,"
    A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",50.0
1552,Madagascar: Escape 2 Africa,(2008),6.6,61,187521,"
    The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",66.0
1553,The Chronicles of Narnia: Prince Caspian,(2008),6.5,62,181489,"
    The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",65.0
1554,Revolutionary Road,(2008),7.3,69,180689,"
    A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.",73.0
1555,You Don't Mess with the Zohan,(2008),5.5,54,179413,"
    An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.",55.0
1556,The Dark Knight,(2008),9.0,84,2096565,"
    When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",90.0
1557,WALL·E,(2008),8.4,95,920711,"
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",84.0
1558,Iron Man,(2008),7.9,79,878966,"
    After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",79.0
1559,Slumdog Millionaire,(2008),8.0,86,753816,"
    A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""",80.0
1560,Gran Torino,(2008),8.1,72,676870,"
    Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",81.0
1561,The Curious Case of Benjamin Button,(2008),7.8,70,546058,"
    Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",78.0
1562,Taken,(I) (2008),7.8,51,542235,"
    A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",78.0
1563,Hancock,(2008),6.4,49,417186,"
    Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.",64.0
1564,The Incredible Hulk,(2008),6.7,61,408404,"
    Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.",67.0
1565,Twilight,(I) (2008),5.2,56,398431,"
    Bella Swan moves to Forks and encounters Edward Cullen, a gorgeous boy with a secret.",52.0
1566,Indiana Jones and the Kingdom of the Crystal Skull,(2008),6.1,65,397694,"
    In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. (Harrison Ford) is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",61.0
1567,The Hurt Locker,(2008),7.6,94,396551,"
    During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",76.0
1568,Kung Fu Panda,(2008),7.5,73,387215,"
    The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts.",75.0
1569,Quantum of Solace,(2008),6.6,58,380830,"
    James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource.",66.0
1570,In Bruges,(2008),7.9,67,366548,"
    Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",79.0
1571,Tropic Thunder,(2008),7.0,71,355388,"
    Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",70.0
1572,Cloverfield,(2008),7.0,64,354337,"
    A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.",70.0
1573,Wanted,(2008),6.7,64,343691,"
    A frustrated office worker learns that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.",67.0
1574,Yes Man,(2008),6.8,46,313695,"
    A man challenges himself to say ""yes"" to everything for an entire year.",68.0
1575,Pineapple Express,(2008),7.0,64,297406,"
    A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.",70.0
1576,Burn After Reading,(2008),7.0,63,290748,"
    A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.",70.0
1577,The Wrestler,(2008),7.9,81,278846,"
    A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",79.0
1578,Jumper,(2008),6.1,35,274356,"
    A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.",61.0
1579,Seven Pounds,(2008),7.6,36,271069,"
    A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.",76.0
1580,Forgetting Sarah Marshall,(2008),7.1,67,250071,"
    Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",71.0
1581,Step Brothers,(2008),6.9,51,249757,"
    Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.",69.0
1582,Hellboy II: The Golden Army,(2008),7.0,78,244781,"
    The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy (Ron Perlman) and his team must save the world from the rebellious creatures.",70.0
1583,Vicky Cristina Barcelona,(2008),7.1,70,229571,"
    Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",71.0
1584,Changeling,(2008),7.7,63,224795,"
    A grief-stricken mother takes on the LAPD to her own detriment when it tries to pass off an obvious impostor as her missing child.",77.0
1585,RocknRolla,(2008),7.3,53,221779,"
    In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into...                See full summary »
",73.0
1586,The Reader,(2008),7.6,58,219502,"
    Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",76.0
1587,Valkyrie,(2008),7.1,56,215873,"
    A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",71.0
1588,21,(2008),6.8,48,215685,"
    ""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",68.0
1589,Role Models,(2008),6.8,61,212718,"
    Wild behavior forces a pair of energy drink reps to enroll in a Big Brother program.",68.0
1590,Rambo,(2008),7.0,46,203980,"
    In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",70.0
1591,Body of Lies,(2008),7.1,57,201324,"
    A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.",71.0
1592,Ip Man,(2008),8.0,59,197837,"
    During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense.",80.0
1593,Mamma Mia!,(2008),6.4,51,197123,"
    The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.",64.0
1594,Let the Right One In,(2008),7.9,82,196456,"
    Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",79.0
1595,Get Smart,(2008),6.5,54,191924,"
    Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",65.0
1596,Death Race,(2008),6.4,43,189238,"
    Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.",64.0
1597,The Happening,(2008),5.0,34,187629,"
    A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",50.0
1598,Madagascar: Escape 2 Africa,(2008),6.6,61,187521,"
    The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",66.0
1599,The Chronicles of Narnia: Prince Caspian,(2008),6.5,62,181489,"
    The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",65.0
1600,Revolutionary Road,(2008),7.3,69,180689,"
    A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.",73.0
1601,You Don't Mess with the Zohan,(2008),5.5,54,179413,"
    An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.",55.0
1602,The Dark Knight,(2008),9.0,84,2096565,"
    When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.",90.0
1603,WALL·E,(2008),8.4,95,920711,"
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",84.0
1604,Iron Man,(2008),7.9,79,878966,"
    After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",79.0
1605,Slumdog Millionaire,(2008),8.0,86,753816,"
    A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""",80.0
1606,Gran Torino,(2008),8.1,72,676870,"
    Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",81.0
1607,The Curious Case of Benjamin Button,(2008),7.8,70,546058,"
    Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",78.0
1608,Taken,(I) (2008),7.8,51,542235,"
    A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",78.0
1609,Hancock,(2008),6.4,49,417186,"
    Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.",64.0
1610,The Incredible Hulk,(2008),6.7,61,408404,"
    Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper.",67.0
1611,Twilight,(I) (2008),5.2,56,398431,"
    Bella Swan moves to Forks and encounters Edward Cullen, a gorgeous boy with a secret.",52.0
1612,Indiana Jones and the Kingdom of the Crystal Skull,(2008),6.1,65,397694,"
    In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. (Harrison Ford) is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",61.0
1613,The Hurt Locker,(2008),7.6,94,396551,"
    During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",76.0
1614,Kung Fu Panda,(2008),7.5,73,387215,"
    The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts.",75.0
1615,Quantum of Solace,(2008),6.6,58,380830,"
    James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource.",66.0
1616,In Bruges,(2008),7.9,67,366548,"
    Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",79.0
1617,Tropic Thunder,(2008),7.0,71,355388,"
    Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",70.0
1618,Cloverfield,(2008),7.0,64,354337,"
    A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.",70.0
1619,Wanted,(2008),6.7,64,343691,"
    A frustrated office worker learns that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.",67.0
1620,Yes Man,(2008),6.8,46,313695,"
    A man challenges himself to say ""yes"" to everything for an entire year.",68.0
1621,Pineapple Express,(2008),7.0,64,297406,"
    A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.",70.0
1622,Burn After Reading,(2008),7.0,63,290748,"
    A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.",70.0
1623,The Wrestler,(2008),7.9,81,278846,"
    A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",79.0
1624,Jumper,(2008),6.1,35,274356,"
    A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.",61.0
1625,Seven Pounds,(2008),7.6,36,271069,"
    A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.",76.0
1626,Forgetting Sarah Marshall,(2008),7.1,67,250071,"
    Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",71.0
1627,Step Brothers,(2008),6.9,51,249757,"
    Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.",69.0
1628,Hellboy II: The Golden Army,(2008),7.0,78,244781,"
    The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy (Ron Perlman) and his team must save the world from the rebellious creatures.",70.0
1629,Vicky Cristina Barcelona,(2008),7.1,70,229571,"
    Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",71.0
1630,Changeling,(2008),7.7,63,224795,"
    A grief-stricken mother takes on the LAPD to her own detriment when it tries to pass off an obvious impostor as her missing child.",77.0
1631,RocknRolla,(2008),7.3,53,221779,"
    In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into...                See full summary »
",73.0
1632,The Reader,(2008),7.6,58,219502,"
    Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",76.0
1633,Valkyrie,(2008),7.1,56,215873,"
    A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",71.0
1634,21,(2008),6.8,48,215685,"
    ""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",68.0
1635,Role Models,(2008),6.8,61,212718,"
    Wild behavior forces a pair of energy drink reps to enroll in a Big Brother program.",68.0
1636,Rambo,(2008),7.0,46,203980,"
    In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",70.0
1637,Body of Lies,(2008),7.1,57,201324,"
    A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.",71.0
1638,Ip Man,(2008),8.0,59,197837,"
    During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense.",80.0
1639,Mamma Mia!,(2008),6.4,51,197123,"
    The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.",64.0
1640,Let the Right One In,(2008),7.9,82,196456,"
    Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",79.0
1641,Get Smart,(2008),6.5,54,191924,"
    Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.",65.0
1642,Death Race,(2008),6.4,43,189238,"
    Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.",64.0
1643,The Happening,(2008),5.0,34,187629,"
    A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",50.0
1644,Madagascar: Escape 2 Africa,(2008),6.6,61,187521,"
    The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",66.0
1645,The Chronicles of Narnia: Prince Caspian,(2008),6.5,62,181489,"
    The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",65.0
1646,Revolutionary Road,(2008),7.3,69,180689,"
    A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.",73.0
1647,You Don't Mess with the Zohan,(2008),5.5,54,179413,"
    An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.",55.0
1648,Inglourious Basterds,(2009),8.3,69,1146109,"
    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",83.0
1649,Avatar,(2009),7.8,83,1057354,"
    A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",78.0
1650,Up,(2009),8.2,88,859692,"
    Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",82.0
1651,The Hangover,(2009),7.7,73,677138,"
    Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",77.0
1652,District 9,(2009),7.9,81,609414,"
    An extraterrestrial race, forced to live in slum-like conditions on Earth, suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.",79.0
1653,Star Trek,(2009),7.9,82,559456,"
    The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.",79.0
1654,Sherlock Holmes,(2009),7.6,57,553575,"
    Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.",76.0
1655,Zombieland,(2009),7.6,73,467795,"
    A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",76.0
1656,Watchmen,(2009),7.6,56,459684,"
    In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",76.0
1657,500 Days of Summer,(2009),7.7,76,445607,"
    An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",77.0
1658,X-Men Origins: Wolverine,(2009),6.6,40,442781,"
    The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",66.0
1659,Harry Potter and the Half-Blood Prince,(2009),7.6,78,425465,"
    As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",76.0
1660,Transformers: Revenge of the Fallen,(2009),6.0,35,367852,"
    Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",60.0
1661,2012,(I) (2009),5.8,49,331465,"
    A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.",58.0
1662,Terminator Salvation,(2009),6.5,49,323881,"
    In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",65.0
1663,Moon,(2009),7.9,67,315016,"
    Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",79.0
1664,3 Idiots,(2009),8.4,67,306349,"
    Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",84.0
